Change Physical Footprint: Designator=B1 Old Footprint=114993121 New Footprint=114993121
Change Physical Footprint: Designator=BT1 Old Footprint=BAT_2468 New Footprint=BAT_2468
Change Physical Footprint: Designator=C1 Old Footprint=CAPC2013X95X50LL10T25 New Footprint=CAPC2013X95X50LL10T25
Change Physical Footprint: Designator=C2 Old Footprint=CAPC2013X95X50LL10T25 New Footprint=CAPC2013X95X50LL10T25
Change Physical Footprint: Designator=C3 Old Footprint=CAPC2013X95X50LL10T25 New Footprint=CAPC2013X95X50LL10T25
Change Physical Footprint: Designator=C4 Old Footprint=CAPC2013X95X50LL10T25 New Footprint=CAPC2013X95X50LL10T25
Change Physical Footprint: Designator=C5 Old Footprint=CAPC2013X95X50LL10T25 New Footprint=CAPC2013X95X50LL10T25
Change Physical Footprint: Designator=C6 Old Footprint=CAPC1608X90X40NL10T20 New Footprint=CAPC1608X90X40NL10T20
Change Physical Footprint: Designator=C7 Old Footprint=CAPC1608X90X40NL10T20 New Footprint=CAPC1608X90X40NL10T20
Change Physical Footprint: Designator=D1 Old Footprint=FP-SML-D12-MFG New Footprint=FP-SML-D12-MFG
Change Physical Footprint: Designator=D2 Old Footprint=STM-BAT54CFILM-3_V New Footprint=STM-BAT54CFILM-3_V
Change Physical Footprint: Designator=E1 Old Footprint=Antenna New Footprint=Antenna
Change Physical Footprint: Designator=J1 Old Footprint=GCT_USB3130-XX-X_REVD New Footprint=GCT_USB3130-XX-X_REVD
Change Physical Footprint: Designator=J2 Old Footprint=FP-RF2-04A-T-00-50-G-MFG New Footprint=FP-RF2-04A-T-00-50-G-MFG
Change Physical Footprint: Designator=J3 Old Footprint=MOLEX_436500303 New Footprint=MOLEX_436500303
Change Physical Footprint: Designator=J4 Old Footprint=SAMTEC_FTSH-107-01-L-DV-K-A New Footprint=SAMTEC_FTSH-107-01-L-DV-K-A
Change Physical Footprint: Designator=L1 Old Footprint=WE-TPC_2813 New Footprint=WE-TPC_2813
Change Physical Footprint: Designator=R1 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R2 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R3 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R4 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R5 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R6 Old Footprint=FP-MCT0603-IPC_B New Footprint=FP-MCT0603-IPC_B
Change Physical Footprint: Designator=R7 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R8 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R9 Old Footprint=FP-MCT0603-IPC_B New Footprint=FP-MCT0603-IPC_B
Change Physical Footprint: Designator=R10 Old Footprint=FP-MCT0603-IPC_B New Footprint=FP-MCT0603-IPC_B
Change Physical Footprint: Designator=R24 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R25 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=R26 Old Footprint=FP-HCJ0805-MFG New Footprint=FP-HCJ0805-MFG
Change Physical Footprint: Designator=SW1 Old Footprint=FP-PTS636_SKG25_SMTR_LFS-MFG New Footprint=FP-PTS636_SKG25_SMTR_LFS-MFG
Change Physical Footprint: Designator=SW2 Old Footprint=FP-PTS636_SKG25_SMTR_LFS-MFG New Footprint=FP-PTS636_SKG25_SMTR_LFS-MFG
Change Physical Footprint: Designator=TP1 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP3 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP4 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=TP5 Old Footprint=test_point New Footprint=test_point
Change Physical Footprint: Designator=U1 Old Footprint=FP-C04-028-MFG New Footprint=FP-C04-028-MFG
Change Physical Footprint: Designator=U2 Old Footprint=FP-3TS1-IPC_C New Footprint=FP-3TS1-IPC_C
Change Physical Footprint: Designator=W1 Old Footprint=RAD-0.2 New Footprint=RAD-0.2
